chain,item,variant,effective_date,date_precision,effective_date_source_text,event_type,prev_price_in_store_jpy,new_price_in_store_jpy,prev_price_takeout_jpy,new_price_takeout_jpy,scope,source_tier,source_title,source_url,notes
すき家,牛丼（並盛）,standard,2024-11-22 09:00,day_time,2024年11月22日9時,price_change,430,450,,,chainwide,official,一部商品価格改定のお知らせ,https://www.sukiya.jp/news/Press_sukiya_20241118.pdf,
すき家,牛丼（並盛）,standard,2025-03-18 09:00,day_time,2025年3月18日9時,price_change,450,480,,,chainwide,official,一部商品価格改定のお知らせ,https://www.sukiya.jp/news/Press_sukiya_20250312.pdf,
すき家,牛丼（並盛）,standard,2025-09-04 09:00,day_time,2025年9月4日9時,price_change,480,450,,,chainwide,official,もっとお得に！9月4日（木）、並盛の価格を480円→450円に改定,https://www.sukiya.jp/news/Press_sukiya_20250828_kk.pdf,値下げ。2026年3月改定はカレー・朝食中心で牛丼並盛は変更なし。
吉野家,牛丼（並盛）,standard,2001-07-26,regional_rollout,2001年7月26日（西日本）/8月1日（東日本）,price_change,400,280,,,regional rollout,secondary,牛丼価格まとめ記事（吉野家2001年7・8月 400→280）,https://gakumado.mynavi.jp/freshers/articles/13761 | https://foodpurpose.proguide.co.jp/article/eOtZ0O2H | https://www.jmrlsi.co.jp/scto/case/2001/yoshinoya-1.html,2001年の値下げは地域別に段階導入。西日本7/26、東日本8/1。
吉野家,牛丼（並盛）,standard,2004-02-01,month,2004年2月,sales_suspended,280,,,,chainwide,secondary,牛丼価格まとめ記事（BSEで販売停止）,https://www.j-cast.com/2024/03/03478912.html?p=all | https://gakumado.mynavi.jp/freshers/articles/13761,BSE問題に伴う販売停止。
吉野家,牛丼（並盛）,standard,2006-09-18,month_day_limited_then_restarted,2006年9月18日（復活祭）、以後10月・11月は月初限定、12月以降の常時販売を目指すと報道,sales_resumed,,380,,,chainwide,secondary,吉野家 牛丼復活祭 / 価格まとめ,https://ja.wikinews.org/wiki/%E5%90%89%E9%87%8E%E5%AE%B6%E3%80%811%E6%97%A5%E9%99%90%E3%82%8A%E3%81%A7%E7%89%9B%E4%B8%BC%E5%86%8D%E9%96%8B%E2%80%952%E5%B9%B47%E3%83%B6%E6%9C%88%E3%81%B6%E3%82%8A | https://www.sankei.co.jp/enak/2006/sep/kiji/07lifeYoshinoya.html | https://gakumado.mynavi.jp/freshers/articles/13761,販売再開初日の価格。再開当初は限定販売を経て常時販売へ移行。
吉野家,牛丼（並盛）,standard,2013-04-18 10:00,day_time,2013年4月18日10時,price_change,380,280,,,chainwide,official,商品戦略に関するお知らせ,https://www.yoshinoya.com/wp-content/uploads/2017/08/0410.pdf,2004年の販売休止時価格280円に戻すと説明。
吉野家,牛丼（並盛）,standard,2014-04-01 10:00,day_time,2014年4月1日10時,price_change,280,300,,,chainwide,official,商品価格改定のお知らせ,https://www.yoshinoya.com/wp-content/uploads/2017/08/0311.pdf,消費税率引上げに伴う改定。
吉野家,牛丼（並盛）,standard,2014-12-17 15:00,day_time,2014年12月17日15時,price_change,300,380,,,chainwide,official,価格改定対象商品一覧,https://www.yoshinoya.com/wp-content/uploads/2017/08/1217.pdf,米国産牛肉の高騰局面。
吉野家,牛丼（並盛）,standard,2019-10-01 10:00,day_time,2019年10月1日10時,tax_reprice,380,387,380,380,chainwide,secondary,軽減税率導入時の店内/持ち帰り価格,https://mainichi.jp/articles/20191001/k00/00m/020/364000c | https://www.j-cast.com/2024/03/03478912.html?p=all,店内飲食387円、持ち帰り380円。
吉野家,牛丼（並盛）,standard,2021-10-29 15:00,day_time,2021年10月29日15時,price_change,387,426,380,419,chainwide,official_plus_backfill,一部商品価格改定のご案内,https://www.yoshinoya.com/2021/1029/ | https://www.yoshinoya.com/2022/0926/,2021年公式は店内価格を明示。持ち帰り419円は2022年改定告知の改定前価格で確認。
吉野家,牛丼（並盛）,standard,2022-10-01 14:00,day_time,2022年10月1日14時,price_change,426,448,419,440,chainwide,official,商品価格改定のご案内,https://www.yoshinoya.com/2022/0926/,
吉野家,牛丼（並盛）,standard,2023-10-02 14:00,day_time,2023年10月2日14時,price_change,448,468,440,460,chainwide,official,商品価格改定のご案内,https://www.yoshinoya.com/wp-content/uploads/2023/09/28184620/news_092902.pdf,
吉野家,牛丼（並盛）,standard,2024-07-29 14:00,day_time,2024年7月29日14時,price_change,468,498,460,489,chainwide,official,価格改定のご案内,https://www.yoshinoya.com/2024/0726/,2025年4月の改定では牛丼並盛は498円/489円で据え置き。
松屋,牛めし（並盛）,standard,2000-09-01,month,2000年9月,price_change,400,290,,,chainwide,official,2012年牛めし280円告知内の価格推移,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,
松屋,牛めし（並盛）,standard,2004-02-01,month,2004年2月,sales_suspended,290,,,,chainwide,official,2012年牛めし280円告知内の価格推移,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,BSEで販売一時中止。
松屋,牛めし（並盛）,standard,2004-10-01,month,2004年10月,sales_resumed,,390,,,chainwide,official,2012年牛めし280円告知内の価格推移,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,
松屋,牛めし（並盛）,standard,2005-09-01,month,2005年9月,price_change,390,350,,,chainwide,official,2012年牛めし280円告知内の価格推移,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,
松屋,牛めし（並盛）,standard,2008-09-01,month,2008年9月,price_change,350,380,,,chainwide,official,2012年牛めし280円告知内の価格推移,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,
松屋,牛めし（並盛）,standard,2009-12-01,month,2009年12月,price_change,380,320,,,chainwide,official,2012年牛めし280円告知内の価格推移,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,
松屋,牛めし（並盛）,standard,2012-01-16 15:00,day_time,2012年1月16日15時,price_change,320,280,,,chainwide,official,新価格！牛めし（並）280円,https://www.matsuyafoods.co.jp/wordpress/wp-content/uploads/2012/01/120105_gyuumeshi_280.pdf,
松屋,牛めし（並盛）,standard,2014-04-01 15:00,day_time,2014年4月1日15時,price_change,280,290,,,chainwide,official,商品価格改定のお知らせ,https://www.matsuyafoods-holdings.co.jp/2014/03/18/2510/,消費税率変更にあわせた改定。
松屋,プレミアム牛めし（並盛）,premium,2014-07-22 10:00,day_time_partial_rollout,2014年7月22日10時,new_variant_launch,290,380,,,286店舗で開始、7月末までに621店舗へ拡大,official,プレミアム牛めし発売！,https://www.matsuyafoods-holdings.co.jp/2014/07/17/2607/,プレミアム導入店舗では従来の牛めし販売を終了。通常牛めし290円は他店舗で継続。
松屋,牛めし（並盛）,standard,2018-04-03 14:00,day_time,2018年4月3日14時,price_change,290,320,,,非プレミアム店舗,official,一部商品価格改定のお知らせ,https://www.matsuyafoods.co.jp/matsuya/whatsnew/menu/16808.html,同日、プレミアム牛めし並盛は380円据え置き。
松屋,牛めし（並盛）,unified,2021-09-28 14:00,day_time_unification,2021年9月28日14時,price_unification,320,380,,,全国統一価格,official_plus_secondary,松屋 牛めし価格統一のお知らせ,https://www.matsuyafoods.co.jp/whatsnew/menu/36452.html | https://www.matsuyafoods.co.jp/matsuya/news_lp/220104.html,旧プレミアム牛めしを『牛めし』へ再編して全国統一価格380円へ。プレミアム販売店舗では実質据え置き。
松屋,牛めし（並盛）,unified,2023-03-21 15:00,day_time,2023年3月21日15時,price_change,380,400,,,全国統一価格,official_plus_secondary,牛めし価格改定のご案内,https://www.matsuyafoods.co.jp/whatsnew/menu/47588.html | https://bg-mania.jp/2023/03/20543322.html,公式ページ本体は価格改定日時を告知、価格表は画像。二次資料で並盛380→400を補完。
松屋,牛めし（並盛）,unified,2024-07-16 15:00,day_time,2024年7月16日15時,price_change,400,430,,,全国統一価格,official,価格改定のご案内,https://www.matsuyafoods.co.jp/matsuya/whatsnew/menu/71805.html,一都六県では同日から深夜料金7%前後。
松屋,牛めし（並盛）,unified,2025-04-22 15:00,day_time,2025年4月22日15時,price_change,430,460,,,全国統一価格,official,価格改定および深夜料金導入店舗拡大のご案内,https://www.matsuyafoods.co.jp/whatsnew/menu/100426.html,2025年末の490円は東京都内・神奈川県の一部店舗のみの期間限定改定のため本CSVでは除外。
